,1819 - Fall Semester,,,,,,,,,,,,,,1819 - Spring Semester,,,,,,,,,,,,,1920 - Summer Semester,,,,,,,,,,,1920 - Fall Semester,,,,,,,,,,,,,,,1920 - Spring Semester,,,,,,,,,,,,2021 - Summer Semester,,,,,,,,,,2021 - Fall Semester,,,,,,,,,,,2021 - Spring Semester,,,,,,,,,,2122 - Summer Quarter,,,2122 - Fall Quarter,,,2122 - Winter Quarter,,,2122 - Spring Quarter,,,NBEO First Time Pass Rate,,,,,
80006,A,C-,B,B-,B,B-,B,A,A,B+,P,3.12,3.12,,B+,B,B-,B-,A,A-,B+,A-,B-,P,3.14,3.13,,A,B-,B+,C+,A,P,A-,H,3.4,3.18,,C+,C+,B-,B+,B-,B+,A,A-,P,A-,B-,P,3.01,3.13,,A-,A-,B+,B-,A-,P,A,A-,P,3.58,3.21,,B+,B,A-,B+,P,B,P,3.26,3.21,,A,A-,B+,B+,P,B-,A,P+,3.35,3.23,,P,A,A-,A,P,P+,H,3.86,3.27,,P,3.27,,H,3.27,,H,3.27,,H,3.27,,572,,,,561,588
93373,A,A-,A,A,A,A,B-,A,A,A-,P,3.86,3.86,,A,B+,A-,A,A,B+,A-,A,B,P,3.55,3.71,,A,B+,B+,B,A,P,A-,P+,3.6,3.68,,A-,A,B+,A-,B,A,A,B+,P,A-,A-,P,3.6,3.66,,A,A,A-,B,B,P,A,B,P,3.56,3.64,,B-,B-,B,B-,P,B+,P,2.88,3.57,,A-,A-,B-,B,P,C+,B+,P+,2.95,3.49,,P,A-,B,B,P,H,H,3.25,3.48,,H,3.48,,H,3.48,,H,3.48,,H,3.48,,477,,,,441,398
92400,A,C-,C,C+,C+,C-,C+,B+,A,C+,P,2.51,2.51,,A-,C,B,B,A,C-,A-,B+,C+,P,2.83,2.67,,A,C-,C,C-,A-,P,B-,P,2.71,2.68,,B-,B-,B-,A-,C+,B,A-,B+,P,B+,C-,P,2.82,2.72,,B+,B+,B+,B,B,P,A-,A-,P,3.37,2.82,,B-,B-,B-,C,P,B+,P,2.72,2.81,,B,B,B+,B-,P,B+,B+,P+,3.09,2.85,,P,B,C,A,P,P+,P+,2.72,2.84,,H,2.84,,H,2.84,,H,2.84,,H,2.84,,343,,,,396,423
94290,A-,B-,A-,A,A-,A-,B+,A-,A,B,P,3.54,3.54,,A,B,A,B+,A,B,B+,A,B,P,3.43,3.49,,A,B-,C+,B,A-,P,B-,H,3.1,3.41,,B+,B,B+,A-,A-,B+,A,A,P,B+,B,P,3.42,3.41,,B,A-,B,C+,B-,P,A,A-,P,3.28,3.39,,B+,B,B-,B,P,A-,P,3.16,3.37,,A-,B,B-,B-,P,C+,B+,H,2.82,3.3,,P,B-,C+,B+,P,H,H,2.62,3.26,,H,3.26,,H,3.26,,H,3.26,,H,3.26,,382,,,,371,487
92034,B+,C+,A-,A-,A-,B+,A,A,A,B,P,3.45,3.45,,B,A-,B,B,A-,B+,A,A-,B+,P,3.39,3.42,,A-,B-,B,B-,B+,P,B,H,3.06,3.35,,C,C+,B,A,B,A-,A-,A-,P,B+,B-,P,3.13,3.29,,B,B-,A-,B-,B-,P,A-,A-,P,3.31,3.29,,B,C+,B-,C+,P,C,P,2.5,3.21,,A,B,B,C+,P,B-,B,H,2.9,3.17,,P,B+,C+,A-,P,H,H,2.91,3.16,,H,3.16,,H,3.16,,H,3.16,,H,3.16,,521,,,,448,604
93602,A-,A-,A,A,A,A-,A-,A,A,B+,P,3.79,3.79,,B-,B+,A-,B,A,B,B,B,B+,P,3.24,3.52,,B+,C+,C,B-,B,P,B+,H,2.8,3.38,,C+,B,B-,A,C,A-,B+,B,P,A-,C,P,2.91,3.25,,A-,B,B,C,C+,P,B,B,P,2.87,3.19,,B-,B-,B,D+,P,C+,P,2.49,3.12,,B+,B+,C+,B-,P,D,B-,P,2.35,3.02,,P,B+,B+,B,P,P,P,3.24,3.04,,H,3.04,,P,3.04,,H,3.04,,H,3.04,,471,,,,293,100
92746,A,C,B,B+,B+,B+,B,A-,A,B-,P,3.22,3.22,,C+,B-,B,A-,A,A-,B-,B+,C+,P,2.9,3.06,,A-,C+,B,B-,A-,P,B,H,3.09,3.07,,C,C+,B,B+,B+,A,A-,B+,P,B+,B-,P,3.05,3.06,,B,B,C+,B,B,P,A,B,P,3.06,3.06,,B-,C+,C+,C+,P,B+,P,2.6,3.02,,B+,B,C,B+,P,B,B,P,2.88,3,,P,A-,C,B,P,P,P,2.8,2.99,,P,2.99,,H,2.99,,H,2.99,,H,2.99,,553,,,,540,560
88573,B+,B-,B-,A-,B,B,A-,A,A,B-,P,3.16,3.16,,A-,C,B,A-,A,B,A-,A,C-,P,2.91,3.04,,A,B,B-,C+,B+,P,B+,P+,3.13,3.06,,B,B+,A-,B+,C+,A-,A,B+,P,A-,C+,P,3.2,3.09,,A,B+,B+,C+,B,P,A,A-,P,3.44,3.15,,B+,B-,A-,B-,P,B+,P,3.18,3.15,,A-,B+,B+,B+,P,B+,B,P,3.32,3.17,,P,B+,B+,A-,P,P+,P+,3.37,3.19,,H,3.19,,H,3.19,,H,3.19,,P,3.19,,483,,,,567,775
87650,A,B+,A,A,A,B,A,A,A,B-,P,3.63,3.63,,A,B,A-,A-,A,B+,A,A-,B,P,3.5,3.57,,A,B+,B+,A-,A,P,A-,H,3.68,3.59,,B-,A-,B,A-,B,A,A,A-,P,B,B,P,3.32,3.51,,A,A,A,B,A,P,A,A-,P,3.86,3.57,,A,A-,A-,B,P,A-,P,3.68,3.58,,A,A,B+,A,P,A-,B+,P,3.7,3.6,,P,A-,B+,A-,P,P,P,3.51,3.59,,P,3.59,,H,3.59,,H,3.59,,H,3.59,,467,,,,441,597
85748,A-,D,C-,C,C,D+,B,B+,A-,C,P,2.24,2.24,,C,C-,D+,C-,A,B-,B+,B+,C-,P,2.23,2.23,,B+,C,D+,D+,B-,P,C+,H,2.21,2.23,,C,D-,C-,A-,C-,B,A-,C,P,B,C,P,2.27,2.24,,C-,B-,C+,D+,B,P,B,A-,P,2.63,2.3,,B,C-,C,D+,P,B,P,2.31,2.3,,B,C+,C+,B-,P,B,B,P,2.7,2.36,,P,B,B-,A,P,P,P,3.04,2.4,,P,2.4,,H,2.4,,H,2.4,,H,2.4,,306,,,,367,377
