,1819 - Fall Semester,,,,,,,,,,,,,,1819 - Spring Semester,,,,,,,,,,,,,1920 - Summer Semester,,,,,,,,,,,1920 - Fall Semester,,,,,,,,,,,,,,,1920 - Spring Semester,,,,,,,,,,,,2021 - Summer Semester,,,,,,,,,,2021 - Fall Semester,,,,,,,,,,,2021 - Spring Semester,,,,,,,,,,2122 - Summer Quarter,,,2122 - Fall Quarter,,,2122 - Winter Quarter,,,2122 - Spring Quarter,,,NBEO First Time Pass Rate,,,,,
93864,A-,B-,B,B,A,A-,A,A-,A,A-,P,3.56,3.56,,B+,A,A,C+,A-,A,A,A,B,P,3.57,3.57,,A,B+,B,B+,A-,P,A-,H,3.52,3.56,,B-,B+,A-,A-,B+,A,A,A,P,B+,B,P,3.48,3.53,,A,A-,B,B+,B,P,A-,A-,P,3.43,3.52,,B,B,B+,B-,P,A,P,3.22,3.49,,A,A-,A-,A-,P,B+,B,H,3.58,3.5,,P,B+,B+,B,P,H,H,3.24,3.48,,H,3.48,,H,3.48,,H,3.48,,H,3.48,,529,,,,625,442
93146,A,B-,B,A,A,B+,B-,A,A,B,P,3.47,3.47,,A,A-,A,A,A,B+,A-,A,B,P,3.65,3.55,,A,A-,A,B+,A,P,B+,H,3.72,3.59,,B,B+,B+,B+,B+,A-,A,B+,P,A,B-,P,3.32,3.51,,A,A-,B+,B-,A-,P,A,A-,P,3.61,3.53,,B,A-,B+,B,P,A,P,3.4,3.51,,A,A,B+,A-,P,A-,A-,H,3.67,3.53,,P,A,A-,B,P,H,H,3.68,3.54,,H,3.54,,H,3.54,,H,3.54,,P,3.54,,489,,,,478,568
93688,B+,C+,C,A-,B,B-,B-,A-,A,B-,P,2.92,2.92,,B,B,C+,C+,A-,B,B,B+,C+,P,2.8,2.86,,A,B,C,C+,C+,P,B-,P,2.68,2.82,,B-,C+,B-,B-,C-,B+,B+,B,P,B-,C,P,2.56,2.75,,A-,B,B+,C,B-,P,A-,B,P,3.15,2.81,,B+,C,A,B-,P,B+,P,3.1,2.84,,B+,B+,B,B,P,B-,B,P,3,2.86,,P,B+,C+,B+,P,P,P,2.84,2.86,,H,2.86,,H,2.86,,H,2.86,,H,2.86,,492,,,,589,349
87231,A-,B+,A-,A,A,A-,A-,A,B+,A-,P,3.72,3.72,,A,A,A-,B,A,B+,A,A,B+,P,3.69,3.71,,A,B+,B+,B,A,P,B,P+,3.46,3.66,,B,B+,B,A-,B+,A-,A,B,P,A-,B+,P,3.36,3.58,,B+,B+,A-,A-,B+,P,A-,B+,P,3.51,3.57,,B+,A-,B+,B+,P,A-,P,3.46,3.55,,B+,B+,B,B,P,B,B,P,3.06,3.49,,P,B+,B+,A,P,P,P+,3.42,3.49,,H,3.49,,P,3.49,,P,3.49,,H,3.49,,489,,,,575,633
92199,A,C+,B+,A-,B,B-,B+,B-,A,B,P,3.13,3.13,,A,B,B+,A,A,B+,B,B,B-,P,3.27,3.2,,A,A-,B-,B-,A-,P,A-,P+,3.48,3.25,,B-,A-,B+,A,B-,A-,A,A-,P,A,B-,P,3.4,3.3,,B+,B,A-,C+,B-,P,A,B+,P,3.35,3.3,,B+,C+,B-,B,P,B+,P,2.94,3.27,,B+,B+,C+,B,P,B-,B,P,2.84,3.21,,P,B+,C+,A-,P,P,P,2.91,3.2,,P+,3.2,,P,3.2,,H,3.2,,H,3.2,,508,,,,505,506
85745,A,B+,A-,A,A,A-,A-,A-,A-,B+,P,3.71,3.71,,A-,A,A-,A-,A,A-,A,A,A-,P,3.81,3.76,,A,B+,B,B,A,P,A,H,3.61,3.73,,A-,A-,A-,A,B+,A,A,A,P,A,B,P,3.68,3.72,,A,A-,B+,A-,B,P,A,A,P,3.65,3.71,,B+,B+,B+,B+,P,B+,P,3.3,3.67,,A,B+,A-,A-,P,A-,B+,H,3.66,3.67,,P,A,A-,B+,P,H,H,3.73,3.67,,H,3.67,,H,3.67,,H,3.67,,H,3.67,,698,,,,688,604
85966,B+,C+,C+,A,B+,C+,B+,A-,A,B-,P,2.99,2.99,,A,C,C+,B+,C,B-,A-,B,C+,P,2.7,2.84,,A,B,B+,B-,B+,P,B+,P+,3.25,2.92,,B+,B,B,B+,C+,C,B,B,P,A-,B,P,2.99,2.94,,B+,B-,C+,C,C,P,A,B+,P,2.88,2.93,,B+,B-,C+,C+,P,B+,P,2.84,2.92,,A,C+,B,B+,P,B,B+,P,3.16,2.95,,P,A,A-,A,P,P,P+,3.86,3.01,,H,3.01,,H,3.01,,H,3.01,,H,3.01,,325,,,,272,577
93601,B+,D+,D+,C+,C-,D-,B,C+,A-,C,P,1.97,1.97,,C+,C-,C+,C,A,C+,C,B,C,P,2.29,2.13,,D+,C-,D+,C-,B-,P,B,P,2.09,2.12,,C,D+,C,B-,D,B-,A-,B,P,A-,C,P,2.33,2.18,,A,B,C,D-,C+,P,B+,B-,P,2.58,2.24,,C-,B,B-,C-,P,C,P,2.22,2.24,,B,B,C+,B,P,C+,B-,P+,2.65,2.29,,P,A-,B,A,P,P,P,3.43,2.36,,H,2.36,,H,2.36,,P,2.36,,P,2.36,,186,313,,,381,666
94032,A-,C+,C+,B,B,C+,B,A-,B+,C+,P,2.83,2.83,,A-,C,B-,A-,A-,B-,B+,B,C+,P,2.85,2.84,,A,B,B-,C,A-,P,B-,H,3.08,2.88,,B-,B-,C+,B+,D+,B+,B+,A-,P,B-,B,P,2.79,2.86,,A,B+,C+,B,A,P,A,B,P,3.32,2.93,,A-,B,B-,B,P,B-,P,3.06,2.95,,B,B-,B+,A-,P,B-,B,P+,3.13,2.97,,P,B+,B,B+,P,P+,P+,3.16,2.98,,H,2.98,,P,2.98,,H,2.98,,H,2.98,,294,161,,,241,163
93866,B,C-,B,B-,C+,F,B,B+,A,D,P,2.17,2.17,,C+,C-,B,C+,A,B+,B+,C+,C,P,2.53,2.53,,A,C,B-,C,B,P,C,H,2.58,2.54,,D,C-,C,A,C,A-,A,B,P,B-,C,P,2.55,2.54,,C-,B+,B,C+,C+,P,B+,B,P,2.81,2.59,,B-,B,B-,C+,P,C,P,2.56,2.58,,A,B+,B-,C+,P,B,B,P,2.93,2.63,,P,A-,B,A-,P,P,P,3.38,2.67,,P,2.67,,H,2.67,,P+,2.67,,P,2.67,,148,243,104,,420,100
92522,A-,B-,C+,A-,B,B+,B+,A,A,A-,P,3.3,3.3,,A,C+,B,B-,A,A-,A-,A-,B+,P,3.32,3.31,,A-,B+,C+,C,B,P,B-,H,2.87,3.22,,C,C,C+,B+,B-,B,A-,B,P,B+,B-,P,2.76,3.1,,A-,B,C+,B-,B-,P,B+,B+,P,2.94,3.07,,B,C+,B,D+,P,C,P,2.43,3.01,,B+,B,C+,C+,P,B-,C+,P,2.59,2.95,,P,B-,C,A-,P,P,P,2.56,2.93,,P,2.93,,H,2.93,,H,2.93,,P,2.93,,628,,,,611,428
94168,A-,A,A,A,A,A-,B+,A,A,B,P,3.76,3.76,,A,A,A,A-,A,A-,A,A,A-,P,3.89,3.82,,A,A,A,A-,A,P,A-,H,3.9,3.84,,A-,A-,A,A,A-,A-,A,A,P,A,A-,P,3.85,3.84,,A,A,A-,B+,A,P,A,A,P,3.86,3.84,,A,A,A,A-,P,A,P,3.96,3.86,,A,A,A,A,P,A,A-,H,3.97,3.87,,P,A,A,A-,P,H,H,3.94,3.87,,H,3.87,,H,3.87,,H,3.87,,P,3.87,,666,,,,693,420
87696,A,C+,A,A,A,A,A-,A,A,B+,P,3.75,3.75,,A,B+,B+,B,A,A-,A,A,B,P,3.5,3.63,,A,B,B+,B,B-,P,A-,H,3.21,3.55,,B,B+,B+,B+,B+,A,A,A-,P,A,B+,P,3.47,3.52,,A,A,A-,B+,B,P,A,A,P,3.73,3.56,,A,B,B-,B,P,A,P,3.4,3.54,,A,B+,A-,B,P,A-,A-,P+,3.54,3.54,,P,B,A-,A,P,P+,P+,3.5,3.54,,H,3.54,,H,3.54,,H,3.54,,H,3.54,,597,,,,596,576
75439,A,C-,C,B,B,C,A-,A-,A,B+,P,2.93,2.93,,A,C,C+,B-,A,A-,B+,B,C,P,2.83,2.88,,A,B-,C,B,B,P,B+,H,3,2.9,,B-,D+,B,B,D-,B,B,B+,P,A-,C,P,2.54,2.8,,B+,B,C+,D,C-,P,B+,B,P,2.57,2.77,,C,C,B-,D+,P,B,P,2.24,2.71,,A,C+,B-,C+,P,B-,B+,P+,2.8,2.72,,P,B+,C,B+,P,P+,P+,2.7,2.72,,P,2.72,,P,2.72,,H,2.72,,H,2.72,,294,,,,189,249
81971,A-,D,C,B,C+,D+,B-,C+,A,C,P,2.29,2.29,,A-,C+,B-,B,A,C,A-,B-,D+,P,2.62,2.45,,A,C,B-,C-,B-,P,C+,H,2.53,2.47,,A-,B,C,C+,D,B-,B,C+,P,B,F,P,2.05,2.35,,B,C+,B+,D-,C-,P,A-,B,P,2.44,2.46,,C+,C,B-,C-,P,C+,P,2.24,2.44,,A-,A-,C-,B,P,D,B-,P,2.38,2.43,,P,B,B,A,P,P,P,3.18,2.47,,H,2.47,,P,2.47,,H,2.47,,H,2.47,,142,100,267,,189,280
94822,A,B+,A-,A,A,B,A-,A,A,A-,P,3.7,3.7,,A-,A-,B+,A,B+,A,A,A,B,P,3.55,3.63,,A,A-,B,A-,A-,P,A-,P,3.65,3.63,,B+,A-,B-,A-,B,A,A,A-,P,A,B,P,3.4,3.57,,A,B+,B+,B+,A-,P,A,B+,P,3.57,3.57,,A-,A-,B-,A,P,A-,P,3.54,3.56,,A,A-,A-,A,P,A,B+,P,3.84,3.6,,P,A-,B-,B+,P,P,P,3.17,3.57,,H,3.57,,H,3.57,,H,3.57,,H,3.57,,442,,,,512,251
94734,A-,D+,B-,C+,C+,C+,B+,B,A-,C+,P,2.62,2.62,,B+,C,C+,B,A,B,B,B-,C+,P,2.72,2.67,,A,B-,B-,C,B-,P,B,P+,2.83,2.7,,C+,C+,B-,B,C,B-,B+,B-,P,A-,B,P,2.78,2.72,,B,B+,B-,C-,C-,P,B+,B+,P,2.77,2.73,,C-,C-,B-,C-,P,B,P,2.16,2.67,,A,B,B-,B-,P,C,B-,H,2.74,2.68,,P,B,B-,B,P,H,H,2.86,2.69,,H,2.69,,H,2.69,,H,2.69,,H,2.69,,442,,,,581,502
92968,B+,C-,C+,B,B+,C+,B+,A-,A,C,P,2.8,2.8,,B+,C,C+,C+,A,B,A-,B,C+,P,2.76,2.78,,B,B-,B,C,B+,P,B,P,2.89,2.8,,B-,C-,C+,B-,C-,B+,A-,B,P,A-,C,P,2.56,2.73,,C+,B,C+,D,C+,P,A,B-,P,2.68,2.72,,C,C-,B,D,P,B-,P,2.14,2.67,,B,B-,B-,C,P,B,B,P,2.67,2.67,,P,B+,C+,A,P,P,P,2.97,2.68,,P,2.68,,P,2.68,,H,2.68,,P,2.68,,104,183,275,,248,396
93868,A,C,B-,B-,B-,C-,B-,B+,A,F,P,2.45,2.45,,A-,C,B-,B+,A,B-,A-,A,B-,P,2.95,2.88,,A,B,B,B-,B+,P,B,H,3.16,2.93,,B-,C,C+,B+,C,B+,A-,B+,P,B,C,P,2.65,2.85,,B,A-,B-,B,B-,P,A-,B+,P,3.15,2.9,,B+,B,A-,B-,P,B+,P,3.24,2.93,,A-,B,B,B,P,B,B,P+,3.09,2.95,,P,A-,B+,A-,P,P+,P+,3.51,2.99,,H,2.99,,H,2.99,,P,2.99,,H,2.99,,357,,,,519,650
93835,A-,C,C+,B+,C+,B-,C+,A-,A-,B-,P,2.8,2.8,,C-,C+,B+,C,A,B,B+,B,C,P,2.61,2.71,,C+,C,C+,C-,B,P,B+,P+,2.53,2.67,,D,C+,C,B+,C,C+,B,C,P,B+,D+,P,2.22,2.55,,B,A-,B-,C+,B,P,B+,B,P,3,2.62,,C+,C,B,C-,P,B-,P,2.38,2.6,,A-,C+,C+,C,P,B,C+,P,2.58,2.59,,P,B+,B-,A-,P,P,P,3.1,2.62,,H,2.62,,P,2.62,,P,2.62,,P,2.62,,452,,,,507,487
